CodLift;DataEvent;Flags;Num;Name
150;2020-02-05 13:42:07.000;18;131;Проникновение в МП
150;2020-02-05 13:42:07.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:42:07.000;18;165;Открыто МП
150;2020-02-05 13:42:07.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 13:42:07.000;16;213;Нет связи
150;2020-02-05 13:42:07.000;2;41;Кабина стоит
150;2020-02-05 13:46:49.000;18;213;Нет связи
150;2020-02-05 13:46:49.000;16;130;Многократный реверс дверей
150;2020-02-05 13:46:49.000;16;131;Проникновение в МП
150;2020-02-05 13:46:49.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:46:49.000;16;165;Открыто МП
150;2020-02-05 13:46:49.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 13:47:52.000;18;130;Многократный реверс дверей
150;2020-02-05 13:47:52.000;18;131;Проникновение в МП
150;2020-02-05 13:47:52.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:47:52.000;18;165;Открыто МП
150;2020-02-05 13:47:52.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 13:47:52.000;16;213;Нет связи
150;2020-02-05 13:47:52.000;2;41;Кабина стоит
150;2020-02-05 14:02:29.000;18;213;Нет связи
150;2020-02-05 14:02:29.000;16;130;Многократный реверс дверей
150;2020-02-05 14:02:29.000;16;131;Проникновение в МП
150;2020-02-05 14:02:29.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 14:02:29.000;16;165;Открыто МП
150;2020-02-05 14:02:29.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 14:05:27.000;18;130;Многократный реверс дверей
150;2020-02-05 14:05:27.000;18;131;Проникновение в МП
150;2020-02-05 14:05:27.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 14:05:27.000;18;165;Открыто МП
150;2020-02-05 14:05:27.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 14:05:27.000;16;213;Нет связи
150;2020-02-05 14:05:28.000;2;41;Кабина стоит
150;2020-02-05 14:21:48.000;18;236;Резервное питание ЛБ
150;2020-02-05 14:22:00.000;16;236;Резервное питание ЛБ
150;2020-02-05 14:34:09.000;18;213;Нет связи
150;2020-02-05 14:34:09.000;16;130;Многократный реверс дверей
150;2020-02-05 14:34:09.000;16;131;Проникновение в МП
150;2020-02-05 14:34:09.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 14:34:09.000;16;165;Открыто МП
150;2020-02-05 14:34:09.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 14:36:48.000;18;130;Многократный реверс дверей
150;2020-02-05 14:36:48.000;18;131;Проникновение в МП
150;2020-02-05 14:36:48.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 14:36:48.000;18;165;Открыто МП
150;2020-02-05 14:36:48.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 14:36:48.000;16;213;Нет связи
150;2020-02-05 14:36:48.000;2;41;Кабина стоит
150;2020-02-05 14:42:59.000;16;165;Открыто МП
150;2020-02-05 14:44:29.000;18;213;Нет связи
150;2020-02-05 14:44:29.000;16;130;Многократный реверс дверей
150;2020-02-05 14:44:29.000;16;131;Проникновение в МП
150;2020-02-05 14:44:29.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 14:44:29.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 15:03:25.000;18;130;Многократный реверс дверей
150;2020-02-05 15:03:25.000;18;131;Проникновение в МП
150;2020-02-05 15:03:25.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 15:03:25.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 15:03:25.000;16;213;Нет связи
150;2020-02-05 15:03:26.000;2;41;Кабина стоит
150;2020-02-05 15:26:11.000;16;130;Многократный реверс дверей
150;2020-02-05 15:26:11.000;16;131;Проникновение в МП
150;2020-02-05 15:26:11.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 15:26:11.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 15:26:13.000;18;128;247 - Ревизия
150;2020-02-05 15:26:13.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 15:44:51.000;18;165;Открыто МП
150;2020-02-05 15:44:58.000;16;128;247 - Ревизия
150;2020-02-05 15:45:38.000;18;128;248 - Режим «Погрузка»
150;2020-02-05 15:45:46.000;16;128;248 - Режим «Погрузка»
150;2020-02-05 15:45:58.000;18;128;248 - Режим «Погрузка»
150;2020-02-05 15:45:59.000;16;128;248 - Режим «Погрузка»
150;2020-02-05 15:46:07.000;18;128;248 - Режим «Погрузка»
150;2020-02-05 15:55:09.000;18;213;Нет связи
150;2020-02-05 15:55:09.000;16;128;248 - Режим «Погрузка»
150;2020-02-05 15:55:09.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 15:55:09.000;16;165;Открыто МП
150;2020-02-05 15:59:45.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 15:59:45.000;18;165;Открыто МП
150;2020-02-05 15:59:45.000;16;213;Нет связи
150;2020-02-05 16:05:09.000;18;213;Нет связи
150;2020-02-05 16:05:09.000;16;128;Ожидание номера СК или данных станции
